,MeanOperations,
Array Size, ONE, TWO
10,162,72
20,722,342
30,1682,812
40,3042,1482
50,4802,2352
60,6962,3422
70,9522,4692
80,12482,6162
90,15842,7832
100,19602,9702
110,23762,11772
120,28322,14042
130,33282,16512
140,38642,19182
150,44402,22052
160,50562,25122
170,57122,28392
180,64082,31862
190,71442,35532
200,79202,39402
210,87362,43472
220,95922,47742
230,104882,52212
240,114242,56882
250,124002,61752
260,134162,66822
270,144722,72092
280,155682,77562
290,167042,83232
300,178802,89102
310,190962,95172
320,203522,101442
330,216482,107912
340,229842,114582
350,243602,121452
360,257762,128522
370,272322,135792
380,287282,143262
390,302642,150932
400,318402,158802
410,334562,166872
420,351122,175142
430,368082,183612
440,385442,192282
450,403202,201152
460,421362,210222
470,439922,219492
480,458882,228962
490,478242,238632
500,498002,248502
510,518162,258572
520,538722,268842
530,559682,279312
540,581042,289982
550,602802,300852
560,624962,311922
570,647522,323192
580,670482,334662
590,693842,346332
600,717602,358202
610,741762,370272
620,766322,382542
630,791282,395012
640,816642,407682
650,842402,420552
660,868562,433622
670,895122,446892
680,922082,460362
690,949442,474032
700,977202,487902
710,1005362,501972
720,1033922,516242
730,1062882,530712
740,1092242,545382
750,1122002,560252
760,1152162,575322
770,1182722,590592
780,1213682,606062
790,1245042,621732
800,1276802,637602
810,1308962,653672
820,1341522,669942
830,1374482,686412
840,1407842,703082
850,1441602,719952
860,1475762,737022
870,1510322,754292
880,1545282,771762
890,1580642,789432
900,1616402,807302
910,1652562,825372
920,1689122,843642
930,1726082,862112
940,1763442,880782
950,1801202,899652
960,1839362,918722
970,1877922,937992
980,1916882,957462
990,1956242,977132
1000,1996002,997002
1010,2036162,1017072
1020,2076722,1037342
1030,2117682,1057812
1040,2159042,1078482
1050,2200802,1099352
1060,2242962,1120422
1070,2285522,1141692
1080,2328482,1163162
1090,2371842,1184832
1100,2415602,1206702
1110,2459762,1228772
1120,2504322,1251042
1130,2549282,1273512
1140,2594642,1296182
1150,2640402,1319052
1160,2686562,1342122
1170,2733122,1365392
1180,2780082,1388862
1190,2827442,1412532
1200,2875202,1436402
1210,2923362,1460472
1220,2971922,1484742
1230,3020882,1509212
1240,3070242,1533882
1250,3120002,1558752
1260,3170162,1583822
1270,3220722,1609092
1280,3271682,1634562
1290,3323042,1660232
1300,3374802,1686102
1310,3426962,1712172
1320,3479522,1738442
1330,3532482,1764912
1340,3585842,1791582
1350,3639602,1818452
1360,3693762,1845522
1370,3748322,1872792
1380,3803282,1900262
1390,3858642,1927932
1400,3914402,1955802
1410,3970562,1983872
1420,4027122,2012142
1430,4084082,2040612
1440,4141442,2069282
1450,4199202,2098152
1460,4257362,2127222
1470,4315922,2156492
1480,4374882,2185962
1490,4434242,2215632
1500,4494002,2245502
1510,4554162,2275572
1520,4614722,2305842
1530,4675682,2336312
1540,4737042,2366982
1550,4798802,2397852
1560,4860962,2428922
1570,4923522,2460192
1580,4986482,2491662
1590,5049842,2523332
1600,5113602,2555202
1610,5177762,2587272
1620,5242322,2619542
1630,5307282,2652012
1640,5372642,2684682
1650,5438402,2717552
1660,5504562,2750622
1670,5571122,2783892
1680,5638082,2817362
1690,5705442,2851032
1700,5773202,2884902
1710,5841362,2918972
1720,5909922,2953242
1730,5978882,2987712
1740,6048242,3022382
1750,6118002,3057252
1760,6188162,3092322
1770,6258722,3127592
1780,6329682,3163062
1790,6401042,3198732
1800,6472802,3234602
1810,6544962,3270672
1820,6617522,3306942
1830,6690482,3343412
1840,6763842,3380082
1850,6837602,3416952
1860,6911762,3454022
1870,6986322,3491292
1880,7061282,3528762
1890,7136642,3566432
1900,7212402,3604302
1910,7288562,3642372
1920,7365122,3680642
1930,7442082,3719112
1940,7519442,3757782
1950,7597202,3796652
1960,7675362,3835722
1970,7753922,3874992
1980,7832882,3914462
1990,7912242,3954132
2000,7992002,3994002
2010,8072162,4034072
2020,8152722,4074342
2030,8233682,4114812
2040,8315042,4155482
2050,8396802,4196352
2060,8478962,4237422
2070,8561522,4278692
2080,8644482,4320162
2090,8727842,4361832
2100,8811602,4403702
2110,8895762,4445772
2120,8980322,4488042
2130,9065282,4530512
2140,9150642,4573182
2150,9236402,4616052
2160,9322562,4659122
