,Mean Time Elapsed, 
Array Size, ONE, TWO
10,0,0
20,0,0
30,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0.001,0
90,0,0
100,0,0
110,0,0
120,0,0
130,0,0.001001
140,0,0.001001
150,0,0.001001
160,0,0
170,0,0.001
180,0,0
190,0,0.001001
200,0,0
210,0,0
220,0.001001,0
230,0.001001,0
240,0.001,0
250,0,0
260,0.001001,0
270,0.001001,0
280,0.001001,0.001001
290,0,0
300,0.001002,0
310,0.001001,0
320,0.001002,0.001001
330,0.001,0
340,0.001001,0.001001
350,0.001001,0.001001
360,0.002003,0.0005
370,0.001501,0.001002
380,0.001501,0.001001
390,0.001502,0.001001
400,0.001501,0.001001
410,0.001501,0.0005
420,0.002004,0
430,0.002002,0.001001
440,0.002002,0.001001
450,0.002002,0.001001
460,0.002001,0.001001
470,0.003003,0.001001
480,0.003003,0.002002
490,0.002002,0.001001
500,0.003003,0.001001
510,0.003002,0.001001
520,0.003003,0.001002
530,0.003002,0.001001
540,0.003003,0.001001
550,0.004004,0.002002
560,0.004003,0.001002
570,0.003002,0.002002
580,0.003003,0.001001
590,0.004507,0.002002
600,0.003503,0.002002
610,0.003503,0.002002
620,0.003004,0.002002
630,0.004004,0.003003
640,0.004003,0.002002
650,0.004003,0.002002
660,0.004004,0.003003
670,0.004003,0.003003
680,0.004004,0.002002
690,0.005005,0.002002
700,0.004004,0.002002
710,0.005005,0.002002
720,0.005005,0.002001
730,0.006006,0.003005
740,0.005505,0.002503
750,0.005006,0.003003
760,0.006006,0.003003
770,0.006005,0.003003
780,0.006007,0.003002
790,0.007007,0.003002
800,0.007008,0.003002
810,0.007006,0.003003
820,0.006005,0.003003
830,0.007007,0.003506
840,0.007007,0.003502
850,0.006507,0.003003
860,0.007007,0.003004
870,0.008008,0.003
880,0.007008,0.003004
890,0.008009,0.004004
900,0.008007,0.004005
910,0.008008,0.004003
920,0.00851,0.004006
930,0.008511,0.004005
940,0.008008,0.005005
950,0.009007,0.004005
960,0.01301,0.007007
970,0.012012,0.006006
980,0.01001,0.005007
990,0.00901,0.004998
1000,0.010009,0.005005
1010,0.010009,0.005005
1020,0.010009,0.005005
1030,0.010009,0.005005
1040,0.01101,0.005006
1050,0.011012,0.005006
1060,0.011011,0.006005
1070,0.011011,0.006007
1080,0.01101,0.006005
1090,0.012014,0.005506
1100,0.011012,0.006008
1110,0.01201,0.006006
1120,0.013011,0.006009
1130,0.012009,0.006008
1140,0.012514,0.006507
1150,0.012015,0.007008
1160,0.013012,0.006008
1170,0.014013,0.007005
1180,0.014013,0.007007
1190,0.014016,0.007011
1200,0.014011,0.007008
1210,0.015014,0.007009
1220,0.015013,0.007007
1230,0.016017,0.007508
1240,0.015015,0.007008
1250,0.016017,0.007006
1260,0.015016,0.007998
1270,0.017016,0.008511
1280,0.022523,0.009009
1290,0.017016,0.008008
1300,0.017016,0.008008
1310,0.017517,0.00801
1320,0.017015,0.009009
1330,0.017015,0.009011
1340,0.018017,0.008008
1350,0.018521,0.009009
1360,0.018017,0.009009
1370,0.018019,0.01001
1380,0.018516,0.00951
1390,0.019019,0.00901
1400,0.020019,0.010009
1410,0.020019,0.009513
1420,0.020101,0.010011
1430,0.020019,0.010009
1440,0.021021,0.011011
1450,0.019521,0.01001
1460,0.020019,0.011012
1470,0.020019,0.01001
1480,0.021523,0.01101
1490,0.022023,0.011011
1500,0.022019,0.011011
1510,0.022523,0.012012
1520,0.023021,0.012011
1530,0.023024,0.012015
1540,0.022524,0.012011
1550,0.024024,0.012012
1560,0.024524,0.012024
1570,0.025025,0.013012
1580,0.025024,0.012012
1590,0.025528,0.013012
1600,0.024024,0.013017
1610,0.024019,0.012514
1620,0.025526,0.013015
1630,0.026023,0.013014
1640,0.026029,0.014013
1650,0.027027,0.014013
1660,0.02753,0.012516
1670,0.027026,0.014012
1680,0.028028,0.014017
1690,0.028659,0.014012
1700,0.028027,0.014015
1710,0.029533,0.014014
1720,0.03003,0.015014
1730,0.031532,0.015015
1740,0.03003,0.015014
1750,0.029531,0.01501
